local_authority,district,constituency,ward ,polling_station,facility,dabengwa_zapu,mugabe_zanu_pf,mukwazhe_zdp,ncube_mdc,tsvangirai_mdc_t,rejected,unaccounted_for,votes_cast,valid_votes
Chiredzi RDC,Chiredzi,Chiredzi North,23,Nyangambe Pry - A,School,6,319,1,3,24,5,0,358,353
Chiredzi RDC,Chiredzi,Chiredzi North,23,Nyangambe Pry- B,School,0,292,0,3,9,5,0,309,304
Chiredzi RDC,Chiredzi,Chiredzi North,23,Nyangambe Sec.,School,2,311,0,7,19,5,0,344,339
Chiredzi RDC,Chiredzi,Chiredzi North,24,Chegwite Pry,Tent,6,556,3,0,12,8,0,585,577
Chiredzi RDC,Chiredzi,Chiredzi North,24,Chibepero Pry,Tent,0,240,0,0,7,6,0,253,247
Chiredzi RDC,Chiredzi,Chiredzi North,24,Chigonono Pry,Tent,3,649,3,3,28,13,0,699,686
Chiredzi RDC,Chiredzi,Chiredzi North,24,Gudo Pry,School,3,330,0,4,7,2,0,346,344
Chiredzi RDC,Chiredzi,Chiredzi North,24,Humani Pry,School,2,102,4,6,78,3,0,195,192
Chiredzi RDC,Chiredzi,Chiredzi North,24,Jerezi Pry,School,11,743,2,3,22,4,0,785,781
Chiredzi RDC,Chiredzi,Chiredzi North,24,Masapasi Workshop,Shed,1,223,1,1,11,7,0,244,237
Chiredzi RDC,Chiredzi,Chiredzi North,24,Matedzi Pry,School,8,881,3,5,30,10,0,937,927
Chiredzi RDC,Chiredzi,Chiredzi North,24,Mukazi Pry,School,16,792,2,6,32,22,0,870,848
Chiredzi RDC,Chiredzi,Chiredzi North,24,Senuko Offices,Shed,0,58,1,1,21,1,0,82,81
Chiredzi RDC,Chiredzi,Chiredzi North,24,Sungubvi Pry,Tent,0,166,1,1,5,3,0,176,173
Chiredzi RDC,Chiredzi,Chiredzi North,26,Mungwezi Pry,Shallets,2,401,2,0,9,5,0,419,414
Chiredzi RDC,Chiredzi,Chiredzi North,26,Oscro Homestead,Homestead,0,92,0,0,7,1,0,100,99
Chiredzi RDC,Chiredzi,Chiredzi North,26,Takunda Pry,Block,4,666,3,0,14,13,0,700,687
Chiredzi RDC,Chiredzi,Chiredzi North,29,Chipetani Homestead,Homestead,0,283,0,1,27,4,0,315,311
Chiredzi RDC,Chiredzi,Chiredzi North,29,Chiredzi Research,Offices,2,378,1,6,107,8,0,502,494
Chiredzi RDC,Chiredzi,Chiredzi North,29,Kubatana Pry,Farmhouse,1,358,1,4,12,9,0,385,376
Chiredzi RDC,Chiredzi,Chiredzi North,29,Nyati Pry,School,3,501,2,7,89,7,0,609,602
Chiredzi RDC,Chiredzi,Chiredzi North,29,Zvidozvavanhu Pry,Farmhouse,1,139,1,0,12,2,0,155,153
Chiredzi RDC,Chiredzi,Chiredzi North,32,Fair Range Chipimbi,Homestead,0,38,0,0,3,0,0,41,41
Chiredzi RDC,Chiredzi,Chiredzi North,32,Magumira Pry,Tent,6,489,2,3,31,6,0,537,531
Chiredzi RDC,Chiredzi,Chiredzi North,32,Malilangwe,Offices,1,89,0,1,41,1,0,133,132
Chiredzi RDC,Chiredzi,Chiredzi North,32,Marambakazura Pry,Tent,2,696,2,2,17,12,0,731,719
Chiredzi RDC,Chiredzi,Chiredzi North,32,Nandi Pry,School,2,86,2,6,58,2,0,156,154
Chiredzi RDC,Chiredzi,Chiredzi North,32,Nyavasikana Pry,Tent,5,415,1,2,11,7,0,441,434
Chiredzi RDC,Chiredzi,Chiredzi North,32,Shilo Farm Workshop,Workshop,0,78,0,0,4,1,0,83,82
Chiredzi RDC,Chiredzi,Chiredzi South,7,Chilonga Prim,School,1,201,1,1,62,6,0,272,266
Chiredzi RDC,Chiredzi,Chiredzi South,7,Chilonga Sec,School,5,197,1,6,45,35,0,289,254
Chiredzi RDC,Chiredzi,Chiredzi South,7,Gwaseche,School,12,575,3,20,78,19,0,707,688
Chiredzi RDC,Chiredzi,Chiredzi South,7,Malisanga,School,3,219,1,4,44,5,0,276,271
Chiredzi RDC,Chiredzi,Chiredzi South,10,Majijimba Pry,School,6,234,1,2,30,12,0,285,273
Chiredzi RDC,Chiredzi,Chiredzi South,10,Makambe Pry,School,5,209,0,4,25,6,0,249,243
Chiredzi RDC,Chiredzi,Chiredzi South,10,Makambe Sec,School,2,204,0,3,32,1,0,242,241
Chiredzi RDC,Chiredzi,Chiredzi South,10,Muhlanguleni Pry,School,7,399,2,11,89,5,0,513,508
Chiredzi RDC,Chiredzi,Chiredzi South,10,Old Boli Pry,School,5,426,0,4,42,11,0,488,477
Chiredzi RDC,Chiredzi,Chiredzi South,10,Tichadya Pry,School,3,299,0,3,38,2,0,345,343
Chiredzi RDC,Chiredzi,Chiredzi South,11,Chanienga,School,8,444,2,12,99,14,0,579,565
Chiredzi RDC,Chiredzi,Chiredzi South,11,Chikombedzi Hall,Hall,14,471,6,28,280,25,0,824,799
Chiredzi RDC,Chiredzi,Chiredzi South,11,Chompani,School,3,302,1,1,23,2,0,332,330
Chiredzi RDC,Chiredzi,Chiredzi South,11,Gurungweni,School,22,544,4,18,48,18,0,654,636
Chiredzi RDC,Chiredzi,Chiredzi South,11,Pfumari,School,7,191,4,3,19,4,0,228,224
Chiredzi RDC,Chiredzi,Chiredzi South,12,Farm 26church,Church,0,38,0,4,7,2,0,51,49
Chiredzi RDC,Chiredzi,Chiredzi South,12,Zhou,School,1,91,0,4,37,0,0,133,133
Chiredzi RDC,Chiredzi,Chiredzi South,13,Chilugwi,School,8,142,5,6,14,6,0,181,175
Chiredzi RDC,Chiredzi,Chiredzi South,13,Dhafi Pry,School,1,71,0,0,4,6,0,82,76
Chiredzi RDC,Chiredzi,Chiredzi South,13,Gezani Primary,School,12,233,4,6,28,10,0,293,283
Chiredzi RDC,Chiredzi,Chiredzi South,13,Makhanani Pry,School,9,175,6,11,24,14,0,239,225
Chiredzi RDC,Chiredzi,Chiredzi South,13,Masukwe,School,8,256,5,12,30,26,0,337,311
Chiredzi RDC,Chiredzi,Chiredzi South,13,Pahlela Sch,School,12,213,4,25,92,15,0,361,346
Chiredzi RDC,Chiredzi,Chiredzi South,14,Bondela,School,4,229,0,7,11,12,0,263,251
Chiredzi RDC,Chiredzi,Chiredzi South,14,Dhavhata Pry,School,13,139,6,2,22,16,0,198,182
Chiredzi RDC,Chiredzi,Chiredzi South,14,Gwaivhi,School,9,161,4,1,33,5,0,213,208
Chiredzi RDC,Chiredzi,Chiredzi South,14,Pukupela,School,6,185,1,9,14,15,0,230,215
Chiredzi RDC,Chiredzi,Chiredzi South,14,Puzani Sch,School,4,109,4,12,17,2,0,148,146
Chiredzi RDC,Chiredzi,Chiredzi South,15,Chigalo,School,2,74,1,3,18,2,0,100,98
Chiredzi RDC,Chiredzi,Chiredzi South,15,Chilohlela Village,Tent,1,14,0,1,8,0,0,24,24
Chiredzi RDC,Chiredzi,Chiredzi South,15,Chishinya,School,9,143,1,21,66,4,0,244,240
Chiredzi RDC,Chiredzi,Chiredzi South,15,Dumisa,School,10,190,7,27,51,8,0,293,285
Chiredzi RDC,Chiredzi,Chiredzi South,15,Malipati Pry,School,2,106,7,36,145,7,0,303,296
Chiredzi RDC,Chiredzi,Chiredzi South,15,Maose,School,4,93,1,16,53,9,0,176,167
Chiredzi RDC,Chiredzi,Chiredzi South,15,Mugiviza,School,6,88,3,2,10,11,0,120,109
Chiredzi RDC,Chiredzi,Chiredzi South,15,Muhlekwani,School,2,60,3,22,68,7,0,162,155
Chiredzi RDC,Chiredzi,Chiredzi South,15,Rutandare,School,10,180,5,22,81,14,0,312,298
Chiredzi RDC,Chiredzi,Chiredzi South,15,Samu,School,3,131,1,3,13,5,0,156,151
Chiredzi RDC,Chiredzi,Chiredzi South,15,Sango Boarder Post,Boardroom,0,6,0,0,2,0,0,8,8
Chiredzi Town Council,Chiredzi,Chiredzi West,1,Council Swimming Pool,Tent,1,120,0,9,184,1,0,315,314
Chiredzi Town Council,Chiredzi,Chiredzi West,1,D. A's Office,Boardroom,1,64,0,1,106,1,0,173,172
Chiredzi Town Council,Chiredzi,Chiredzi West,2,Chiredzi Govt Pry Sch - A,School,1,309,0,4,271,5,0,590,585
Chiredzi Town Council,Chiredzi,Chiredzi West,2,Chiredzi Govt Pry Sch - B,School,0,162,1,5,157,2,0,327,325
Chiredzi Town Council,Chiredzi,Chiredzi West,3,Chitsanga  Hall,Hall,2,350,3,12,354,7,0,728,721
Chiredzi Town Council,Chiredzi,Chiredzi West,3,Shingai Pry Sch  - A,School,0,189,0,3,212,2,0,406,404
Chiredzi Town Council,Chiredzi,Chiredzi West,3,Shingai Pry Sch  - B,School,0,148,0,5,170,3,0,326,323
Chiredzi Town Council,Chiredzi,Chiredzi West,4,Catholic Hall,Hall,2,304,0,8,337,3,0,654,651
Chiredzi Town Council,Chiredzi,Chiredzi West,4,Musikawamatanda,Tent,4,389,2,13,385,4,0,797,793
Chiredzi Town Council,Chiredzi,Chiredzi West,4,Salvation Army Church,Church,0,237,0,6,258,2,0,503,501
Chiredzi Town Council,Chiredzi,Chiredzi West,5,Chiredzi Christian Sec - A,School,0,279,0,7,381,8,0,675,667
Chiredzi Town Council,Chiredzi,Chiredzi West,5,Chiredzi Christian Sec - B,School,1,304,0,5,403,4,0,717,713
Chiredzi Town Council,Chiredzi,Chiredzi West,6,Tshovani Pry Sch - A,School,1,137,0,3,153,1,0,295,294
Chiredzi Town Council,Chiredzi,Chiredzi West,6,Tshovani Pry Sch - B,School,0,158,0,4,172,6,0,340,334
Chiredzi Town Council,Chiredzi,Chiredzi West,6,Tshovani Pry Sch -C,School,1,163,0,1,133,4,0,302,298
Chiredzi Town Council,Chiredzi,Chiredzi West,7,Chiredzi Govt Sec -A,School,0,184,0,2,225,4,0,415,411
Chiredzi Town Council,Chiredzi,Chiredzi West,7,Chiredzi Govt Sec -B,School,2,219,1,3,215,3,0,443,440
Chiredzi Town Council,Chiredzi,Chiredzi West,8,Lowveld SDA Pry,School,3,348,0,8,329,4,0,692,688
Chiredzi Town Council,Chiredzi,Chiredzi West,8,Poly Clinic,Clinic,0,197,1,4,263,2,0,467,465
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Chitepo Creche Section 13,Pre-Sch block,2,194,0,9,143,2,0,350,348
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Dunuza Pry,School,5,421,0,21,514,12,0,973,961
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Kamba Pry,School,1,171,0,4,95,2,0,273,271
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Murray MacDougal Pry,School,0,203,0,7,385,2,0,597,595
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Nzimbe Location Creche,Pre-Sch block,1,95,0,4,238,1,0,339,338
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Section 11 Creche,Pre-Sch block,0,112,0,0,48,3,0,163,160
Chiredzi Town Council,Chiredzi,Chiredzi West,18,Terry Goss Sec,School,0,145,0,2,67,1,0,215,214
Chiredzi Town Council,Chiredzi,Chiredzi West,19,Chishamiso Pry,School,3,369,1,16,412,8,0,809,801
Chiredzi Town Council,Chiredzi,Chiredzi West,19,Dapi Tapi Pry,School,4,160,1,20,257,8,0,450,442
Chiredzi Town Council,Chiredzi,Chiredzi West,19,HVE Medical Centre,Tent,2,239,3,17,403,7,0,671,664
Chiredzi Town Council,Chiredzi,Chiredzi West,19,Ngwindi Pry,School,7,291,1,9,131,6,0,445,439
Chiredzi Town Council,Chiredzi,Chiredzi West,19,Ratidzo Pry,School,5,160,1,10,133,5,0,314,309
Chiredzi Town Council,Chiredzi,Chiredzi West,19,Section 20 Creche,Pre-Sch block,2,126,0,12,91,2,0,233,231
Chiredzi Town Council,Chiredzi,Chiredzi West,27,Mutilikwe Pry,School,1,349,1,11,177,9,0,548,539
Chiredzi Town Council,Chiredzi,Chiredzi West,27,Mutilikwe Sec,School,6,542,3,2,20,5,0,578,573
Chiredzi Town Council,Chiredzi,Chiredzi West,27,Section 19 Creche,Pre-Sch block,1,209,0,6,117,5,0,338,333
Chiredzi Town Council,Chiredzi,Chiredzi West,27,Section 64  Creche,Pre-Sch block,3,488,0,1,28,5,0,525,520
Chiredzi Town Council,Chiredzi,Chiredzi West,28,C. A. Gibbs Pry,School,7,503,0,3,33,7,0,553,546
Chiredzi Town Council,Chiredzi,Chiredzi West,28,Kyle Pry,School,4,361,3,10,174,5,0,557,552
Chiredzi Town Council,Chiredzi,Chiredzi West,28,Mac Pry,School,2,626,1,6,59,6,0,700,694
Chiredzi Town Council,Chiredzi,Chiredzi West,28,Mufakose Sec,School,1,378,0,9,505,4,0,897,893
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Bani Pry,School,3,411,2,13,132,5,0,566,561
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Chikomo Pry,School,6,412,1,18,88,5,0,530,525
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Chivaraidze Hall,Hall,5,275,0,15,204,13,0,512,499
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Citrus Pry,School,5,91,1,5,35,1,0,138,137
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Gaba Pry,School,1,245,0,0,59,6,0,311,305
Chiredzi Town Council,Chiredzi,Chiredzi West,30,Mleme Pry,School,9,449,2,9,58,2,0,529,527
Chivi R.D.C,Chivi,Chivi North,1,Badza Primary,School,2,162,0,8,121,5,0,298,293
Chivi R.D.C,Chivi,Chivi North,1,Bvute Primary,School,2,258,3,9,95,10,0,377,367
Chivi R.D.C,Chivi,Chivi North,1,Gwamakunguvo Secondary,School,1,287,1,18,199,15,0,521,506
Chivi R.D.C,Chivi,Chivi North,1,Shumba Primary,School,0,110,2,6,100,6,0,224,218
Chivi R.D.C,Chivi,Chivi North,1,Vutete Clinic,Clinic,1,218,1,5,54,8,0,287,279
Chivi R.D.C,Chivi,Chivi North,2,Madamombe Primary,School,3,323,1,10,125,11,0,473,462
Chivi R.D.C,Chivi,Chivi North,2,Madangombe Secondary,School,2,229,2,10,145,7,0,395,388
Chivi R.D.C,Chivi,Chivi North,2,Masunda North Primary,School,2,55,0,8,81,2,0,148,146
Chivi R.D.C,Chivi,Chivi North,2,Masunda North Secondary,School,2,191,7,11,205,12,0,428,416
Chivi R.D.C,Chivi,Chivi North,2,Mukotosi Primary,School,1,99,1,1,83,6,0,191,185
Chivi R.D.C,Chivi,Chivi North,2,Ruminya Secondary,School,1,88,0,4,120,1,0,214,213
Chivi R.D.C,Chivi,Chivi North,3,Befura Hall,Hall,3,149,0,5,96,8,0,261,253
Chivi R.D.C,Chivi,Chivi North,3,Befura Primary,School,2,145,0,8,165,7,0,327,320
Chivi R.D.C,Chivi,Chivi North,3,Bwanya Primary,School,4,235,2,8,100,16,0,365,349
Chivi R.D.C,Chivi,Chivi North,3,Chidhume Business Centre,Tent,2,96,0,6,172,5,0,281,276
Chivi R.D.C,Chivi,Chivi North,3,Shashi Business Centre,Tent,3,163,0,6,124,7,0,303,296
Chivi R.D.C,Chivi,Chivi North,4,Chigwikwi Business centre,Tent,2,287,0,6,56,14,0,365,351
Chivi R.D.C,Chivi,Chivi North,4,Gomo Primary,School,2,191,0,4,55,1,0,253,252
Chivi R.D.C,Chivi,Chivi North,4,Rutedze Primary,School,1,79,0,4,38,6,0,128,122
Chivi R.D.C,Chivi,Chivi North,4,Tagwirei Church,Church,0,152,0,2,48,0,0,202,202
Chivi R.D.C,Chivi,Chivi North,4,Zororai Secondary,School,0,136,1,2,38,5,0,182,177
Chivi R.D.C,Chivi,Chivi North,5,Chitowa Business Centre,Hall,3,230,1,17,112,8,0,371,363
Chivi R.D.C,Chivi,Chivi North,5,Madzivadondo Clinic,Clinic,1,121,0,6,61,6,0,195,189
Chivi R.D.C,Chivi,Chivi North,5,Mudadisi Secondary Schoo,School,5,154,0,14,101,5,0,279,274
Chivi R.D.C,Chivi,Chivi North,5,Rubveruchena Primary,School,5,263,2,7,46,5,0,328,323
Chivi R.D.C,Chivi,Chivi North,5,Sukwe Primary School,School,5,236,0,7,44,8,0,300,292
Chivi R.D.C,Chivi,Chivi North,6,Maramba Primary,School,0,93,0,0,29,1,0,123,122
Chivi R.D.C,Chivi,Chivi North,6,Mhandamabwe Vet Office,Vet Office,0,50,0,0,90,1,0,141,140
Chivi R.D.C,Chivi,Chivi North,6,Mupani Ward Centre,Tent,1,246,1,2,44,8,0,302,294
Chivi R.D.C,Chivi,Chivi North,7,Chidandimo Business Cent,Tent,1,95,0,9,66,6,0,177,171
Chivi R.D.C,Chivi,Chivi North,7,Hlanga Business Centre,Tent,1,154,0,3,41,9,0,208,199
Chivi R.D.C,Chivi,Chivi North,7,Jenya Secondary,School,1,115,0,5,93,3,0,217,214
Chivi R.D.C,Chivi,Chivi North,7,Utsinda Primary,School,4,190,0,11,75,6,0,286,280
Chivi R.D.C,Chivi,Chivi North,7,Vuravhi Business Centre,Tent,0,93,0,6,34,3,0,136,133
Chivi R.D.C,Chivi,Chivi North,8,Denga Dip Tank,Tent,1,250,2,10,182,9,0,454,445
Chivi R.D.C,Chivi,Chivi North,8,Denga Primary,School,1,136,0,6,82,11,0,236,225
Chivi R.D.C,Chivi,Chivi North,8,Gondo Primary,School,4,106,0,4,60,6,0,180,174
Chivi R.D.C,Chivi,Chivi North,8,Makovere North Primary,School,2,124,0,7,73,7,0,213,206
Chivi R.D.C,Chivi,Chivi North,8,Vuravhi Primary,School,1,201,0,4,68,11,0,285,274
Chivi R.D.C,Chivi,Chivi North,9,Cheteni Primary,School,1,173,1,5,53,6,0,239,233
Chivi R.D.C,Chivi,Chivi North,9,Chidyamakono Secondary,School,0,304,2,9,155,6,0,476,470
Chivi R.D.C,Chivi,Chivi North,9,Denge Business  Centre D,Tent,3,169,1,4,115,6,0,298,292
Chivi R.D.C,Chivi,Chivi North,9,Mbavari  Village,Tent,1,126,0,2,30,2,0,161,159
Chivi R.D.C,Chivi,Chivi North,10,Chigapa Primary,School,1,187,0,2,15,5,0,210,205
Chivi R.D.C,Chivi,Chivi North,10,Chisenga Primary,School,3,270,1,4,52,14,0,344,330
Chivi R.D.C,Chivi,Chivi North,10,Hlanga Primary,School,3,138,0,2,59,2,0,204,202
Chivi R.D.C,Chivi,Chivi North,10,Taru Primary,School,7,219,0,5,48,13,0,292,279
Chivi R.D.C,Chivi,Chivi North,10,Zvamapere Secondary,School,3,193,1,1,21,7,0,226,219
Chivi R.D.C,Chivi,Chivi North,13,Mabika Primary,School,3,174,0,8,73,3,0,261,258
Chivi R.D.C,Chivi,Chivi North,13,Muzondo Secondary,School,4,274,1,13,149,8,0,449,441
Chivi R.D.C,Chivi,Chivi North,13,Tafireyi Borehole,Tent,3,97,1,1,45,3,0,150,147
Chivi R.D.C,Chivi,Chivi North,13,Takavarasha Primary,School,2,194,0,12,114,10,0,332,322
Chivi RDC,Chivi,Chivi Central,11,Jochomi Primary,School,1,121,1,2,42,7,0,174,167
Chivi RDC,Chivi,Chivi Central,11,Mangwana Primary,School,4,157,0,5,30,2,0,198,196
Chivi RDC,Chivi,Chivi Central,11,Mhiti Business Centre,Tent,0,363,1,3,85,7,0,459,452
Chivi RDC,Chivi,Chivi Central,11,Nyevedzai Primary,School,3,223,1,5,67,2,0,301,299
Chivi RDC,Chivi,Chivi Central,11,Zinwa Pump,Tent,2,204,0,2,64,5,0,277,272
Chivi RDC,Chivi,Chivi Central,12,Barure Business Centre,Tent,0,171,2,2,48,5,0,228,223
Chivi RDC,Chivi,Chivi Central,12,Chibi Mission High,School,3,152,0,4,66,5,0,230,225
Chivi RDC,Chivi,Chivi Central,12,Chinembiri Secondary,School,6,209,1,8,88,2,0,314,312
Chivi RDC,Chivi,Chivi Central,12,Mazhaugwe Bussiness Cen,Church,2,189,1,15,83,5,0,295,290
Chivi RDC,Chivi,Chivi Central,12,Mazorodze Primary,School,1,187,0,4,88,8,0,288,280
Chivi RDC,Chivi,Chivi Central,12,Muvhundusi Primary,School,1,153,1,6,58,6,0,225,219
Chivi RDC,Chivi,Chivi Central,14,Bare Primary,School,13,333,3,15,48,11,0,423,412
Chivi RDC,Chivi,Chivi Central,14,Chiware Primary,School,12,185,1,8,75,11,0,292,281
Chivi RDC,Chivi,Chivi Central,14,Davira Primary,School,8,311,1,5,71,13,0,409,396
Chivi RDC,Chivi,Chivi Central,14,Makamba Secondary,School,4,213,2,9,65,5,0,298,293
Chivi RDC,Chivi,Chivi Central,14,Masinire Clinic,Clinic,5,179,2,2,55,11,0,254,243
Chivi RDC,Chivi,Chivi Central,15,Chifedza Secondary,School,0,50,0,3,34,2,0,89,87
Chivi RDC,Chivi,Chivi Central,15,Dewe Primary,School,5,223,1,9,56,7,0,301,294
Chivi RDC,Chivi,Chivi Central,15,Dzimati Primary,School,17,247,3,10,40,8,0,325,317
Chivi RDC,Chivi,Chivi Central,15,Madya Primary,School,6,130,1,5,47,1,0,190,189
Chivi RDC,Chivi,Chivi Central,15,Mapaike Primary,School,6,196,0,3,54,4,0,263,259
Chivi RDC,Chivi,Chivi Central,15,Mapuvire Primary,School,6,183,2,11,65,3,0,270,267
Chivi RDC,Chivi,Chivi Central,16,Chasiya Primary,School,5,237,0,23,126,9,0,400,391
Chivi RDC,Chivi,Chivi Central,16,Dombo Primary,School,3,241,2,7,87,10,0,350,340
Chivi RDC,Chivi,Chivi Central,16,Masunda South Primary,School,2,254,3,9,152,27,0,447,420
Chivi RDC,Chivi,Chivi Central,16,Matihwa Primary,School,2,146,1,4,66,10,0,229,219
Chivi RDC,Chivi,Chivi Central,16,Nyamakwe Business Centr,Community Hall,9,163,5,17,148,11,0,353,342
Chivi RDC,Chivi,Chivi Central,16,St Martin Primary,School,3,137,1,8,51,9,0,209,200
Chivi RDC,Chivi,Chivi Central,17,Arch Munaka Secondary,School,2,75,2,5,79,3,0,166,163
Chivi RDC,Chivi,Chivi Central,17,Chamatutu Primary,School,5,177,1,5,65,7,0,260,253
Chivi RDC,Chivi,Chivi Central,17,Chirogwe Primary,School,9,299,3,7,61,10,0,389,379
Chivi RDC,Chivi,Chivi Central,17,Vundembe Primary,School,7,211,1,4,27,5,0,255,250
Chivi RDC,Chivi,Chivi Central,17,Zihwa Primary,School,4,98,1,4,29,2,0,138,136
Chivi RDC,Chivi,Chivi Central,18,Gwitima Business Centre,Tent,4,156,0,3,69,7,0,239,232
Chivi RDC,Chivi,Chivi Central,18,Gwitima Primary,School,1,153,1,4,64,6,0,229,223
Chivi RDC,Chivi,Chivi Central,18,Jaka Chishozhowa Seconda,School,0,64,1,4,59,2,0,130,128
Chivi RDC,Chivi,Chivi Central,18,Mhosva Primary,School,0,169,1,3,73,7,0,253,246
Chivi RDC,Chivi,Chivi Central,18,Muzogwi Primary,School,0,205,0,3,57,5,0,270,265
Chivi RDC,Chivi,Chivi Central,18,Vuranda Methodist,Church,3,272,0,6,53,9,0,343,334
Chivi RDC,Chivi,Chivi Central,19,Boarder Munaka Secondar,School,5,177,0,10,76,5,0,273,268
Chivi RDC,Chivi,Chivi Central,19,Chikofa Primary,School,16,375,3,20,181,15,0,610,595
Chivi RDC,Chivi,Chivi Central,19,Mushai Primary,School,5,106,1,6,38,3,0,159,156
Chivi RDC,Chivi,Chivi Central,19,Rungai Primary,School,3,144,1,3,93,8,0,252,244
Chivi RDC,Chivi,Chivi Central,19,Ruvengo Zion,Church,3,201,2,3,57,7,0,273,266
Chivi RDC,Chivi,Chivi Central,20,Chikore Primary,School,4,232,2,7,82,9,0,336,327
Chivi RDC,Chivi,Chivi Central,20,Danhamombe Seconadry,School,5,179,1,11,126,4,0,326,322
Chivi RDC,Chivi,Chivi Central,20,Jaka Primary,School,2,138,0,8,80,4,0,232,228
Chivi RDC,Chivi,Chivi Central,20,Makamure Primary,School,5,94,0,9,80,11,0,199,188
Chivi RDC,Chivi,Chivi Central,20,Mandiva Primary,School,2,65,0,13,93,6,0,179,173
Chivi RDC,Chivi,Chivi Central,20,Sese Business Centre,Hall,1,196,2,13,190,14,0,416,402
Chivi RDC,Chivi,Chivi Central,21,Chomuruvati Primary,School,10,307,1,4,47,4,0,373,369
Chivi RDC,Chivi,Chivi Central,21,Mawadze Primary,School,2,323,0,12,58,11,0,406,395
Chivi RDC,Chivi,Chivi Central,21,Mupagamuri Primary,School,4,236,0,7,35,5,0,287,282
Chivi RDC,Chivi,Chivi Central,21,Musvovi Primary,School,3,202,0,9,53,6,0,273,267
Chivi RDC,Chivi,Chivi Central,21,Rushangarumwe Primary,School,3,97,1,2,39,4,0,146,142
Chivi RDC,Chivi,Chivi Central,30,Chivi District Magistrate,Court Room,0,111,0,4,86,1,0,202,201
Chivi RDC,Chivi,Chivi Central,30,Madyangove Primary,School,2,164,0,3,109,4,0,282,278
Chivi RDC,Chivi,Chivi Central,30,Ministry of Rural Housing,Tent,1,148,0,1,195,0,0,345,345
Chivi RDC,Chivi,Chivi Central,30,Nyaningwe Secondary,School,4,429,2,9,314,12,0,770,758
Chivi RDC,Chivi,Chivi South,22,Chamanhanzva Secondary,School,3,173,0,5,53,10,0,244,234
Chivi RDC,Chivi,Chivi South,22,Magwari Primary,School,5,114,1,13,70,8,0,211,203
Chivi RDC,Chivi,Chivi South,22,Maringire Cattle Sale Pen,Tent,0,48,0,2,19,5,0,74,69
Chivi RDC,Chivi,Chivi South,22,Maringire Primary,School,2,481,2,11,138,15,0,649,634
Chivi RDC,Chivi,Chivi South,22,Mutondo Crossroads,Tent,2,238,1,10,108,4,0,363,359
Chivi RDC,Chivi,Chivi South,23,Chasiyatende Primary,School,11,324,1,3,56,12,,407,395
Chivi RDC,Chivi,Chivi South,23,Chasiyetende Secondary,School,1,118,0,4,14,3,0,140,137
Chivi RDC,Chivi,Chivi South,23,G&N Mission Rushumbe S,School,3,210,1,5,31,3,0,253,250
Chivi RDC,Chivi,Chivi South,23,Makovevere South Primary,School,9,199,4,9,61,8,0,290,282
Chivi RDC,Chivi,Chivi South,23,Mangwangwa Catholic Ch,Tent,2,59,1,0,24,2,0,88,86
Chivi RDC,Chivi,Chivi South,23,Marufu Business Centre,Tent,2,120,1,2,40,8,0,173,165
Chivi RDC,Chivi,Chivi South,24,DDF Rest Camp,Tent,3,184,1,7,52,1,,248,247
Chivi RDC,Chivi,Chivi South,24,Kushinga Secondary,School,7,244,4,7,74,9,0,345,336
Chivi RDC,Chivi,Chivi South,24,Mavende Primary,School,1,222,0,8,89,4,0,324,320
Chivi RDC,Chivi,Chivi South,24,Zifunzi Primary,School,3,204,4,5,78,5,0,299,294
Chivi RDC,Chivi,Chivi South,24,Zivuku Clinic,Clinic,0,82,1,3,43,2,0,131,129
Chivi RDC,Chivi,Chivi South,25,Madzivire Primary,School,5,183,1,11,93,6,0,299,293
Chivi RDC,Chivi,Chivi South,25,Mutote Primary,School,7,160,2,17,137,6,0,329,323
Chivi RDC,Chivi,Chivi South,25,Ngundu Halt Catholic Chur,Church Hall,6,317,2,20,312,15,0,672,657
Chivi RDC,Chivi,Chivi South,25,Ngundu Halt Secondary,School,2,164,2,2,83,3,0,256,253
Chivi RDC,Chivi,Chivi South,25,Runesu Primary,School,10,451,3,35,148,25,0,672,647
Chivi RDC,Chivi,Chivi South,26,Chehaya Primary,School,8,451,7,23,87,19,0,595,576
Chivi RDC,Chivi,Chivi South,26,Dimbiti Primary,School,3,397,3,3,34,13,0,453,440
Chivi RDC,Chivi,Chivi South,26,Sadzangwena Primary,School,3,293,3,6,39,13,0,357,344
Chivi RDC,Chivi,Chivi South,26,Shindi Primary,School,2,325,2,9,67,9,0,414,405
Chivi RDC,Chivi,Chivi South,26,Shindi Secondary,School,1,254,0,5,27,11,0,298,287
Chivi RDC,Chivi,Chivi South,27,Nyahombe Primary,School,1,401,1,6,57,10,0,476,466
